category_code	name
5778	"Міністерства юстиції України"
5779	"Фонду державного майна України та його регіональних відділень"
5780	"Фонду соціального захисту інвалідів та його територіальних відділень"
5781	"Фонду соціального страхування від нещасних випадків на виробництві та професійних захворювань та його відділень"
5782	"Пенсійного фонду України та його управлінь"
5783	"Державного центру зайнятості України та його центрів"
5784	"Фонду соціального страхування з тимчасової втрати працездатності та його відділень"
5786	"Органів виконавчої влади, органів місцевого самоврядування про обмеження щодо реалізації права на мирні зібрання"
5787	"Субєктів владних повноважень щодо примусового видворення з України іноземців або осіб без громадянства"
5788	"інших суб’єктів владних повноважень"
5789	"Міністерства праці та соціальної політики України"
5790	"Міністерства  внутрішніх справ України"
5791	"Міністерства оборони України"
5792	"інших міністерств"
5793	"Державної податкової адміністрації України та її органів (усього)"
5795	"щодо припинення державної реєстрації юридичної особи або суб'єкта підприємницької діяльності (фізичної особи)"
5796	"щодо застосування адміністративного арешту та продовження строку арешту активів платників податків"
5797	"щодо стягнення податкового боргу"
5798	"щодо стягнення штрафних (фінансових) санкцій, не пов’язаних з оподаткуванням"
5799	"інші категорії"
5800	"Головного контрольно-ревізійного управління України та його територіальних органів"
5802	"Державної інспекції України з контролю за цінами та її територіальних органів"
5803	"Справи зі спорів щодо правовідносин, пов’язаних з виборчим процесом чи процесом референдуму"
5804	"Інші категорії справ"
5805	"Порушення правил охорони та використання територій та об'єктів природно-заповідного фонду"
12147	залізницею
5808	"Приховування перевищення встановлених лімітів на обсяги утворення та розміщення відходів"
6240	"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України"
6241	"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань"
6242	"Наклеп (стара категорія)"
6258	"У порядку процесуального законодавства"
10380	"Спори про відшкодування шкоди завданої державі внаслідок корупційного правопорушення"
10381	"Спори про відшкодування шкоди завданої фізичній або юридичній особі внаслідок незаконних рішень, дій або бездіяльності суб'єкта, який здійснює заходи щодо запобігання і протидії корупції"
10382	"Спори про відшкодування шкоди фізичній особі, яка потерпіла від кримінального правопорушення"
10400	"Спори про відшкодування шкоди, завданої незаконними рішеннями, діями чи бездіяльністю органу, що здійснює оперативно-розшукову діяльність, досудове розслідування, прокуратури або суду"
10600	"Порушення порядку приймання готівки для подальшого її переказу"
10601	"Порушення порядку здійснення операцій з електронними грошима"
10602	"Порушення порядку проведення готівкових розрахунків та розрахунків з використанням електронних платіжних засобів за товари (послуги)"
10603	"Приховування стійкої фінансової неспроможності"
10604	"Зайняття забороненими видами господарської діяльності"
10605	"Недотримання особою обов'язкових умов щодо приватизації державного, комунального майна або підприємств та їх подальшого використання"
10606	"Незаконні дії щодо приватизаційних паперів"
10620	"Незаконні дії у разі банкрутства"
10621	"Фіктивне банкрутство"
10622	"Примушування до антиконкурентних узгоджених дій"
10623	"Порушення законодавства у сфері гарантування вкладів фізичних осіб"
10640	"Порушення законів України та нормативно-правових актів Національного банку України щодо здійснення нагляду (оверсайту) платіжних систем та систем розрахунків (далі - платіжні системи)"
10641	"Порушення порядку здійснення державного нагляду (контролю) у сфері господарської діяльності"
10642	"Фальсифікація засобів вимірювання"
10643	"Відмова від виконання наказу або інших законних вимог командира (начальника)"
10660	"Самовільне залишення військової частини або місця служби"
10680	"Необережне знищення або пошкодження військового майна"
10681	"Зловживання військовою службовою особою владою або службовим становищем"
10682	"Перевищення військовою службовою особою влади чи службових повноважень"
10683	"Недбале ставлення до військової служби"
10684	"Бездіяльність військової влади"
10685	"Порушення правил несення бойового чергування"
10700	"Порушення правил несення прикордонної служби"
10701	"Порушення правил поводження із зброєю, а також речовинами і предметами, що становлять підвищену небезпеку для оточення"
10702	"Розпивання пива, алкогольних, слабоалкогольних напоїв військовослужбовцями"
10703	"Здійснення суб'єктом господарювання господарської діяльності без декларації відповідності матеріально-технічної бази суб'єкта господарювання вимогам законодавства у сфері пожежної безпеки"
10704	"Порушення порядку перебування дітей у закладах, у яких проводиться діяльність у сфері розваг або закладах громадського харчування"
10720	"Невиконання законних вимог посадових осіб Національного антикорупційного бюро України"
10740	"Недоставляння або порушення строку доставляння обов'язкового безоплатного примірника документів"
10741	"Порушення законодавства про державну реєстрацію нормативно-правових актів"
10742	"Невиконання законних вимог (приписів) посадових осіб органів державного архітектурно-будівельного контролю та нагляду"
10743	"Невиконання законних вимог посадових осіб Служби безпеки України"
11105	"за зверненням Генеральної прокуратури України в інтересах фізичних або юридичних осіб"
10760	"Невиконання законних вимог посадових осіб центрального органу виконавчої влади, що реалізує державну регуляторну політику, політику з питань нагляду (контролю) у сфері господарської діяльності, ліцензування та дозвільної системи у сфері господарської"
10761	"Невиконання законних вимог (приписів) Національного агентства з питань запобігання корупції"
10780	"Порушення порядку в'їзду на тимчасово окуповану територію України та виїзду з неї"
10800	"Порушення вимог законодавства про працю та про охорону праці"
10820	"Порушення законодавства про Державний земельний кадастр"
10860	"Адміністративне провадження (КАСУ)"
10861	"Спори фізичних чи юридичних осіб із суб’єктом владних повноважень щодо оскарження його дій або бездіяльності, рішень (правових актів індивідуальної дії) (крім пов’язаних із виборчим процесом або процесом референдуму)"
10880	"про анулювання реєстраційного свідоцтва політичної партії, про заборону (примусовий розпуск, ліквідацію) політичної партії"
10881	"заяви на відмову органу державної реєстрації актів цивільного стану внести виправлення в актовий запис цивільного стану"
10882	"з приводу рішень, дій або бездіяльності державної виконавчої служби, її посадової або службової особи"
10883	"відповідачем у яких є  закордонне дипломатичне чи консульське представництво України, їхня посадова  чи службова особа"
10884	"відповідачем у яких є Пенсійний фонд України або його територіальні управління з приводу обчислення пенсійних виплат"
10885	"щодо податкового рішення – повідомлення, виданого Державною податковою адміністрацією України або її територіальними органами"
10900	"із них, пов’язаною з нарахуванням  зобов’язань щодо сплати податків та зборів, державного мита"
10901	"із них, пов’язаною з нарахуванням  зобов’язань щодо сплати податків та зборів, єдиного податку"
10902	"із них, пов’язаною з нарахуванням  зобов’язань щодо сплати податків та зборів, митного збору"
10903	"із них, пов’язаною з нарахуванням  зобов’язань щодо сплати податків та зборів, плату (податок) за землю"
10904	"із них, пов’язаною з нарахуванням  зобов’язань щодо сплати податків та зборів, рентних платежів"
10920	"Спори з приводу прийняття громадян на публічну службу, її проходження, звільнення з публічної служби"
10921	"про усунення обмежень у реалізації права на мирні зібрання з боку органів виконавчої влади, місцевого самоврядування, повідомлених про проведення таких заходів"
10922	"непрямими методами визначення податкового збору"
10923	"про виплату заробітної плати"
10924	"щодо оскарження рішень про притягнення до адміністративної відповідальності (крім спорів, пов'язаних з проходженням публічної служби)"
10940	"про стягнення виплат"
10941	"державним службовцям"
10942	військовослужбовцям
10943	"працівникам Служби безпеки України, органів прокуратури та внутрішніх справ"
10944	суддям
10945	"Спори щодо правовідносин, пов’язаних із виборчим процесом чи процесом референдуму (усього)"
10946	"уточнення списку виборців"
10947	"оскарження рішень, дій або бездіяльності"
10960	"комісій з референдуму та їх членів"
10961	"територіальних (окружних) виборчих комісій та їх членів"
10962	"складу дільничних виборчих комісій"
10980	"підсумків голосування на територіальному виборчому окрузі"
10981	"дільничних виборчих комісій та їх членів"
10982	"організації голосування на виборчій дільниці"
11000	"підрахунку голосів на виборчій дільниці"
11001	"органів виконавчої влади, їхніх посадових та службових осіб"
11002	"органів місцевого самоврядування, їхніх посадових та службових осіб"
11003	"засобів масової інформації, їхніх посадових та службових осіб, творчих працівників засобів масової інформації"
11004	"спростування опублікованих ними неправдивих відомостей про кандидата чи партію (блок), що висунули кандидата"
11020	"підприємств, установ,  організацій, їхніх посадових та службових осіб"
11462	"купівлею - продажем"
11022	"партії (блоку), місцевої організації партії (блоку місцевих організацій партії), їхніх посадових осіб та уповноважених осіб"
11040	"ініціативних груп референдуму, інших суб’єктів ініціювання референдуму"
11041	"офіційних спостерігачів від суб’єктів виборчого процесу"
11042	"центральної виборчої комісії та її членів"
11044	"Спори фізичних чи юридичних осіб із суб’єктом владних повноважень щодо оскарження його рішень (нормативно-правових актів), виданих"
11045	"Верховою Радою Автономної Республіки Крим"
11046	Міністерствами
11047	"Центральними органами виконавчої влади, у тому числі зі спеціальним статусом (усього)"
11060	"Міністерством фінансів України"
11061	"Міністерством внутрішніх справ України"
11080	"Міністерством з питань надзвичайних ситуацій та у справах захисту населення від наслідків Чорнобильської катастрофи"
11081	"Міністерством оборони України"
11082	"Міністерством з питань житлово-комунального господарства"
11083	"Міністерством з питань праці та соціальної політики України"
11084	"Міністерством охорони здоров'я України"
11100	"Спори за зверненнями суб’єкта владних повноважень, у тому числі їх органів на місцях"
11101	"про обмеження проведення заходів, передбачених статтею 39 Конституції України (збори, мітинги, походи і демонстрації)"
11102	"про визнання страйку незаконним"
11103	"щодо тимчасової заборони (зупинення) окремих видів або всієї діяльності об’єднання громадян, у тому числі політичних партій"
11104	"про примусовий розпуск (ліквідацію) об’єднання громадян"
6249	"Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою"
10420	"Наказне провадження"
10421	"Розгляд прийнятих заяв про видачу судового наказу"
10440	"Розгляд прийнятих заяв про видачу судового наказу на вимогу про компенсацію витрат на проведення розшуку"
10441	"Розгляд прийнятих заяв про видачу судового наказу на вимогу про компенсацію витрат на проведення розшуку відповідача"
10442	"Розгляд прийнятих заяв про видачу судового наказу на вимогу про компенсацію витрат на проведення розшуку боржника"
10443	"Розгляд прийнятих заяв про видачу судового наказу на вимогу про компенсацію витрат на проведення розшуку дитини"
10444	"Розгляд прийнятих заяв про видачу судового наказу на вимогу про компенсацію витрат на проведення розшуку транспортних засобів боржника"
10460	"Розгляд заяв про скасування судового наказу"
10461	"Розгляд заяв про скасування судового наказу виданого на вимогу про компенсацію витрат на проведення розшуку"
10462	"Розгляд заяв про скасування судового наказу виданого на вимогу про компенсацію витрат на проведення розшуку відповідача"
10463	"Розгляд заяв про скасування судового наказу виданого на вимогу про компенсацію витрат на проведення розшуку боржника"
10464	"Розгляд заяв про скасування судового наказу виданого на вимогу про компенсацію витрат на проведення розшуку дитини"
10465	"Розгляд заяв про скасування судового наказу виданого на вимогу про компенсацію витрат на проведення розшуку транспортних засобів боржника"
10481	"Позовне провадження"
10500	"Спори, що виникають із земельних правовідносин про паювання землі"
10520	"Порушення вимог законодавства про ідентифікацію та реєстрацію тварин"
10521	"Підроблення проїзних квитків і знаків поштової оплати"
10522	"Порушення порядку ведення єдиного державного реєстру громадян, які потребують поліпшення житлових умов"
10523	"Порушення правил паркування транспортних засобів"
10524	"Порушення встановлених законодавством вимог щодо заборони реклами та спонсортсва тютюнових виробів"
10525	"Ухилення від повернення виручки в іноземній валюті"
10526	"Незаконне відкриття або використання за межами України валютних рахунків					"
10527	"Порушення правил здачі дорогоцінних металів і дорогоцінного каміння					"
11120	"Державної податкової адміністрації України та її органів (усього)"
11140	"щодо визнання угод та установчих документів недійсними"
11141	"Перегляд постанови (ухвали) за нововиявленими обставинами"
11142	"Встановлена вироком суду, що набрав законної сили, вина судді у вчиненні злочину, внаслідок якого було ухвалено незаконне або необґрунтоване рішення"
11160	"Заява про забезпечення позову, доказів"
11161	"про забезпечення доказів"
11162	"про забезпечення позову"
11163	"про скасування заходів забезпечення позову"
11180	"Інші злочини"
11181	"Старі категорії"
11182	"У С Ь О Г О СПРАВ УСІХ КАТЕГОРІЙ (сума рядків:1, 2, 6, 10, 12, 19, 26, 33, 34, 39, 40, 44, 47, 53, 55, 59, 60, 65, 68, 80, 81), з них"
11183	"справи, що порушуються не інакше як за скаргою потерпілого"
11184	"справи щодо неповнолітніх"
11200	"прави про злочини, вчинені у складі організованої групи"
11201	"справи про злочини, вчинені у складі злочинної організації"
11202	"Заява про перегляд судового рішення за нововиявленими (виключними) обставинами"
11203	"Заява про відновлення втрачених матеріалів кримінального провадження"
11204	"Скарга на дії, рішення чи бездіяльність слідчого, прокурора під час досудового розслідування"
11205	"Заява про відвід"
11206	"Клопотання (подання), пов`язані з виконанням судових рішень у кримінальному провадженні"
11207	"Запит (клопотання) про міжнародну правову допомогу у кримінальному провадженні"
11208	"Злочини проти безпеки руху та експлуатації транспорту (усього), з них"
11209	"угон або захоплення залізничного рухомого складу, повітряного, морського чи річкового судна"
11210	"Злочини проти довкілля"
11211	"незаконна порубка лісу"
11212	"незаконне полювання"
11213	"незаконне зайняття рибним, звіриним або іншим водним добувним промислом"
11220	"Злочини  у сфері господарської діяльності (усього), з них"
11221	"порушення законодавства про бюджетну систему України"
11240	"Злочини проти основ національної безпеки України"
11260	"Особливо небезпечні злочини"
11261	"Скарга приватного обвинувачення"
11262	"Екстремістська діяльність"
11280	"Зайняття гральним бізнесом"
11281	"Підроблення документів, які подаються для проведення державної реєстрації юридичної особи та фізичних осіб - підприємців"
6114	"Перешкоджання уповноваженим особам органів доходів і зборів, Пенсійного фонду України, фондів загальнообов'язкового державного соціального страхування у проведенні перевірок"
6115	"Перешкоджання уповноваженим особам органів Фонду соціального страхування від нещасних випадків на виробництві та професійних захворювань України у здійсненні перевірок"
6116	"Невиконання законних вимог (приписів) посадових осіб центрального органу виконавчої влади, що реалізує державну політику у сфері страхового фонду документації "
6117	"Невиконання законних вимог Головного державного фітосанітарного інспектора України, головних державних фітосанітарних інспекторів, державних фітосанітарних інспекторів "
6118	"Невиконання законних вимог інспекторів сільського господарства "
6119	"Невиконання законних вимог посадових осіб уповноважених підрозділів Національної поліції"
6120	"Невиконання законних вимог посадових осіб національної комісії, що здійснює державне регулювання у сфері ринків фінансових послуг"
6121	"Невиконання законних вимог посадових осіб центрального органу виконавчої влади, що реалізує державну політику у сфері контролю за цінами"
6122	"Ухилення від виконання або несвоєчасне виконання законних вимог Національної комісії з цінних паперів та фондового ринку або її уповноважених осіб "
6123	"Невиконання законних вимог посадових осіб органів Державної служби спеціального зв'язку та захисту інформації України"
6124	"Невиконання законних вимог Вищої ради правосуддя, її органу або члена Вищої ради правосуддя"
6125	"Невиконання законних вимог посадових осіб органів охорони культурної спадщини"
6158	"Прийняття на роботу без паспорта"
11463	Міністерством
6126	"Невиконання законних вимог посадових осіб суб'єктів державного фінансового моніторингу"
6127	"Невиконання законних вимог Вищої кваліфікаційної комісії суддів України, Кваліфікаційно-дисциплінарної комісії прокурорів або членів цих органів щодо надання інформації "
6128	"Невиконання законних вимог посадових осіб національної комісії, що здійснює державне регулювання у сферах енергетики та комунальних послуг"
6129	"Невиконання законних вимог посадових осіб органів ринкового нагляду та їх територіальних органів"
6130	"Невиконання приписів посадових осіб центрального органу виконавчої влади, що реалізує державну політику з питань дозвільної системи у сфері господарської діяльності"
6131	"Порушення законодавства у сфері захисту персональних даних"
6132	"Невиконання законних вимог центрального органу виконавчої влади, що реалізує державну політику у сфері охорони праці "
6133	"Невиконання законних вимог Уповноваженого Верховної Ради України з прав людини"
6134	"Невиконання законних розпоряджень чи приписів посадових осіб органів, які здійснюють державний контроль у галузі охорони навколишнього природного середовища, використання природних ресурсів, радіаційної безпеки або охорону природних ресурсів"
6136	"Невиконання законних вимог національної комісії, що здійснює державне регулювання у сфері зв'язку та інформатизації"
6137	"Невиконання приписів та постанов посадових осіб центрального органу виконавчої влади, що реалізує державну політику з питань нагляду та контролю за додержанням законодавства про пожежну і техногенну безпеку "
6138	"Невиконання законних вимог посадових осіб центрального органу виконавчої влади, що реалізує державну політику у сфері стандартизації, метрології та метрологічної діяльності і технічного регулювання"
6139	"Порушення правил відкриття та функціонування штемпельно-граверних майстерень"
6140	"Порушення порядку видобутку, виробництва, використання та реалізації дорогоцінних металів і дорогоцінного каміння, дорогоцінного каміння органогенного утворення та напівдорогоцінного каміння"
6141	"Порушення правил виготовлення та порядку обліку і зберігання печаток та штампів, а так само виготовлення, ввезення, реалізація та використання самонабірних печаток"
6142	"Порушення громадянами порядку придбання, зберігання, передачі іншим особам або продажу вогнепальної, холодної чи пневматичної зброї"
6143	"Порушення громадянами правил зберігання, носіння або перевезення нагородної, вогнепальної, холодної чи пневматичної зброї і бойових припасів"
6144	"Порушення громадянами строків реєстрації (перереєстрації) нагородної, вогнепальної, холодної чи пневматичної зброї і правил взяття її на облік "
6145	"Ухилення від реалізації вогнепальної, холодної чи пневматичної зброї і бойових припасів"
6146	"Порушення працівниками торговельних підприємств (організацій) порядку продажу вогнепальної, холодної чи пневматичної зброї і бойових припасів"
6147	"Порушення працівниками підприємств, установ, організацій правил зберігання або перевезення вогнепальної, холодної чи пневматичної зброї і бойових припасів"
6148	"Порушення порядку розробки, виготовлення, реалізації спеціальних засобів самооборони"
6149	"Порушення порядку придбання, зберігання, реєстрації або обліку газових пістолетів і револьверів та патронів до них"
6150	"Порушення правил застосування спеціальних засобів самооборони"
6151	"Порушення порядку виробництва, придбання, зберігання чи продажу електрошокових пристроїв і спеціальних засобів, що застосовуються правоохоронними органами"
6152	"Незаконне зберігання спеціальних технічних засобів негласного отримання інформації "
6153	"Порушення порядку виробництва, зберігання, перевезення, торгівлі та використання піротехнічних засобів"
6154	"Порушення правил навчання карате"
6155	"Проживання без паспорта громадянина України або без реєстрації місця проживання"
6156	"Умисне зіпсуття паспорта чи втрата його з необережності"
6157	"Допущення проживання без паспорта"
6159	"Незаконне вилучення паспортів і прийняття їх у заставу"
6160	"Порушення прикордонного режиму, режиму в пунктах пропуску через державний кордон України або режимних правил у контрольних пунктах в'їзду - виїзду"
6161	"Порушення іноземцями та особами без громадянства правил перебування в Україні і транзитного проїзду через територію України"
6162	"Порушення порядку працевлаштування, прийняття на навчання, надання житла, реєстрації іноземців та осіб без громадянства та оформлення для них документів"
6163	"Незаконне перетинання або спроба незаконного перетинання державного кордону України"
6164	"Невжиття заходів до забезпечення своєчасної реєстрації іноземців і осіб без громадянства"
6165	"Порушення порядку надання іноземцям та особам без громадянства житла, транспортних засобів та сприяння в наданні інших послуг"
6166	"Незаконне перевезення іноземців та осіб без громадянства територією України"
6167	"Неповернення капітаном іноземного судна перепусток на право сходження на берег осіб суднового екіпажу"
6168	"Порушення військовозобов'язаними чи призовниками законодавства про загальний військовий обов'язок і військову службу"
6169	"Порушення законодавства про оборону, мобілізаційну підготовку та мобілізацію"
6170	"Умисне зіпсуття обліково-військових документів чи втрата їх з необережності"
6171	"Неявка на виклик у військовий комісаріат"
6172	"Неподання у військові комісаріати списків юнаків, які підлягають приписці до призовних дільниць"
6173	"Прийняття на роботу військовозобов'язаних і призовників, які не перебувають на військовому обліку"
6174	"Незабезпечення сповіщення військовозобов'язаних і призовників про їх виклик у військові комісаріати, перешкода їх своєчасній явці на збірні пункти чи призовні дільниці"
6175	"Несвоєчасне подання документів, необхідних для ведення військового обліку військовозобов'язаних і призовників, несповіщення їх про виклик у військові комісаріати"
6176	"Неподання відомостей про військовозобов'язаних і призовників"
6177	"Повідомлення неправдивих відомостей державним органам реєстрації актів цивільного стану та несвоєчасна реєстрація народження дитини"
6179	"Порушення прав на об'єкт права інтелектуальної власності"
6180	"Псування і забруднення сільськогосподарських та інших земель"
6181	"Порушення правил використання земель"
6182	"Самовільне зайняття земельної ділянки"
6183	"Приховування або перекручення даних земельного кадастру"
6184	"Зняття та перенесення ґрунтового покриву земельних ділянок без спеціального дозволу"
6185	"Незаконне заволодіння ґрунтовим покривом (поверхневим шаром) земель"
6186	"Порушення строку погодження (відмови у погодженні) документації із землеустрою"
6187	"Порушення строків повернення тимчасово зайнятих земель або неприведення їх у стан, придатний для використання за призначенням"
6188	"Порушення правил землеустрою"
6189	"Знищення межових знаків"
6190	"Порушення вимог щодо охорони надр"
6191	"Порушення правил і вимог проведення робіт по геологічному вивченню надр"
6192	"Порушення правил охорони водних ресурсів"
6193	"Порушення вимог щодо охорони територіальних і внутрішніх морських вод від забруднення і засмічення"
6194	"Порушення правил водокористування"
6195	"Пошкодження водогосподарських споруд і пристроїв, порушення правил їх експлуатації"
6196	"Невиконання обов'язків по реєстрації в суднових документах операцій з шкідливими речовинами і сумішами"
6197	"Незаконне використання земель державного лісового фонду"
6198	"Порушення встановленого порядку використання лісосічного фонду, заготівлі і вивезення деревини, заготівлі живиці"
6199	"Незаконна порубка, пошкодження та знищення лісових культур і молодняка"
6200	"Знищення або пошкодження полезахисних лісових смуг та захисних лісових насаджень"
6201	"Знищення або пошкодження підросту в лісах"
4114	"Антимонопольна діяльність"
6202	"Здійснення лісових користувань не у відповідності з метою або вимогами, передбаченими в лісорубному квитку (ордері) або лісовому квитку"
6203	"Порушення правил відновлення і поліпшення лісів, використання ресурсів спілої деревини"
6204	"Пошкодження сінокосів і пасовищних угідь на землях державного лісового фонду"
